state,baseline_iou,rl_iou,improvement
DistrictofColumbia,0.25809970729213055,0.2910659657883797,0.03296625849624912
Arkansas,0.002347417840320483,0.02771618625215707,0.025368768411836586
Alabama,0.0072815533978815156,0.02409638554158804,0.016814832143706524
Arizona,0.0,0.0,0.0
Florida,0.0,0.0,0.0
Georgia,0.0,0.0,0.0
Delaware,0.1937322803498989,0.14369935316960386,-0.050032927180295034
California,0.10631229235527201,0.03897685749039005,-0.06733543486488196
Connecticut,0.3632839601000927,0.28704990105781386,-0.07623405904227881
Colorado,0.1605793450861388,0.07619047619002269,-0.08438886889611612
